穴位、经脉、常见病症名称,H1_Link
（15） 屋翳 Wūyì,/lilunshuji/zhenjiuxue/2814.html
（16） 膺窗 Yìngchuāng,/lilunshuji/zhenjiuxue/2815.html
（17） 乳中 Rǔzhōng,/lilunshuji/zhenjiuxue/2816.html
（18） 乳根 Rǔgēn,/lilunshuji/zhenjiuxue/2817.html
（19） 不容 Bùróng,/lilunshuji/zhenjiuxue/2818.html
（20） 承满 Chéngmǎn,/lilunshuji/zhenjiuxue/2819.html
（21） 梁门 Liángmén,/lilunshuji/zhenjiuxue/2820.html
（22） 关门 Guānmén,/lilunshuji/zhenjiuxue/2821.html
（23） 太乙 Tàiyǐ,/lilunshuji/zhenjiuxue/2822.html
（24） 滑肉门 Huáròumén,/lilunshuji/zhenjiuxue/2823.html
（25） 天枢 Tiānshū,/lilunshuji/zhenjiuxue/2824.html
（26） 外陵 Wàilíng,/lilunshuji/zhenjiuxue/2825.html
（27） 大巨 Dàjù,/lilunshuji/zhenjiuxue/2826.html
（28） 水道 ShuǐDào,/lilunshuji/zhenjiuxue/2827.html
（29） 归来 Guīlái,/lilunshuji/zhenjiuxue/2828.html
（30） 气冲 Qìchōng,/lilunshuji/zhenjiuxue/2829.html
（31） 髀关 Bìguān,/lilunshuji/zhenjiuxue/2830.html
（32） 伏兔 Fútù,/lilunshuji/zhenjiuxue/2831.html
（33） 阴市 Yīnshì,/lilunshuji/zhenjiuxue/2832.html
（34） 梁丘,/lilunshuji/zhenjiuxue/2833.html
（35） 犊鼻 Dúbí,/lilunshuji/zhenjiuxue/2834.html
（36） 足三里 Zúsānlǐ,/lilunshuji/zhenjiuxue/2835.html
（37） 上巨虚,/lilunshuji/zhenjiuxue/2836.html
（38） 条口,/lilunshuji/zhenjiuxue/2837.html
（39） 下巨虚,/lilunshuji/zhenjiuxue/2838.html
（40） 丰隆 Fēnglóng,/lilunshuji/zhenjiuxue/2839.html
（41） 解溪,/lilunshuji/zhenjiuxue/2840.html
（42） 冲阳,/lilunshuji/zhenjiuxue/2841.html
（43） 陷谷 Xiàngǔ,/lilunshuji/zhenjiuxue/2842.html
（44） 内庭 Nèitíng,/lilunshuji/zhenjiuxue/2843.html
（45） 厉兑 Lìduì,/lilunshuji/zhenjiuxue/2844.html
十二经脉  四、足太阴脾经（共21穴）,/lilunshuji/zhenjiuxue/93-5-4.html
（1） 隐白 Yǐnbái,/lilunshuji/zhenjiuxue/2846.html
（2） 大都 Dàdū,/lilunshuji/zhenjiuxue/2847.html
（3） 太白 Tàibái,/lilunshuji/zhenjiuxue/2848.html
（4） 公孙 Gōngxūn,/lilunshuji/zhenjiuxue/2849.html
（5） 商丘 Shāngqiū,/lilunshuji/zhenjiuxue/2850.html
（6） 三阴交 Sānyīnjiāo,/lilunshuji/zhenjiuxue/2851.html
（7） 漏谷 Lòugǔ,/lilunshuji/zhenjiuxue/2852.html
（8） 地机 Dìjī,/lilunshuji/zhenjiuxue/2853.html
（9） 阴陵泉 Yīnlíngquán,/lilunshuji/zhenjiuxue/2854.html
（10） 血海 Xuèhǎi,/lilunshuji/zhenjiuxue/2855.html
（11） 箕门Jìmén,/lilunshuji/zhenjiuxue/2856.html
（12） 冲门 Chōngmén,/lilunshuji/zhenjiuxue/2857.html
（13） 府舍 Fùshě,/lilunshuji/zhenjiuxue/2858.html
（14） 腹结 Fùjié,/lilunshuji/zhenjiuxue/2859.html
（15） 大横 Dàhéng,/lilunshuji/zhenjiuxue/2860.html
（16） 腹哀 Fùāi,/lilunshuji/zhenjiuxue/2861.html
（17） 食窦 Shídòu,/lilunshuji/zhenjiuxue/2862.html
（18） 天溪 Tiānxī,/lilunshuji/zhenjiuxue/2863.html
（19） 胸乡 Xiōngxiāng,/lilunshuji/zhenjiuxue/2864.html
（20） 周荣 Zhōuróng,/lilunshuji/zhenjiuxue/2865.html
（21） 大包 Dàbāo,/lilunshuji/zhenjiuxue/2866.html
十二经脉  五、手少阴心经（共9穴）,/lilunshuji/zhenjiuxue/93-5-5.html
（1） 极泉 Jíquán,/lilunshuji/zhenjiuxue/2868.html
（2） 青灵 Qīnglíng,/lilunshuji/zhenjiuxue/2869.html
（3） 少海 Shàohǎi,/lilunshuji/zhenjiuxue/2870.html
（4） 灵道 Língdào,/lilunshuji/zhenjiuxue/2871.html
（5） 通里 Tōnglǐ,/lilunshuji/zhenjiuxue/2872.html
（6） 阴郄 Yīnxì,/lilunshuji/zhenjiuxue/2873.html
（7） 神门 Shénmén,/lilunshuji/zhenjiuxue/2874.html
（8） 少府 Shàofǔ,/lilunshuji/zhenjiuxue/2875.html
（9） 少冲 Shàochōng,/lilunshuji/zhenjiuxue/2876.html
十二经脉  六、手太阳小肠经（共19穴）,/lilunshuji/zhenjiuxue/93-5-6.html
（1） 少泽 Shàozé,/lilunshuji/zhenjiuxue/2878.html
（2） 前谷 Qiángǔ,/lilunshuji/zhenjiuxue/2879.html
（3） 后溪 Hòuxī,/lilunshuji/zhenjiuxue/2880.html
（4） 腕骨 Wàngǔ,/lilunshuji/zhenjiuxue/2881.html
（5） 阳谷 Yánggǔ,/lilunshuji/zhenjiuxue/2882.html
（6） 养老 Yǎnglǎo,/lilunshuji/zhenjiuxue/2883.html
（7） 支正 Zhīzhèng,/lilunshuji/zhenjiuxue/2884.html
（8） 小海 Xiǎohǎi,/lilunshuji/zhenjiuxue/2885.html
（9） 肩贞 Jiānzhēn,/lilunshuji/zhenjiuxue/2886.html
（10） 臑俞 Nàoshū,/lilunshuji/zhenjiuxue/2887.html
（11） 天宗 Tiānzōng,/lilunshuji/zhenjiuxue/2888.html
（12） 秉风 Bǐngfēng,/lilunshuji/zhenjiuxue/2889.html
（13） 曲垣 Qūyuán,/lilunshuji/zhenjiuxue/2890.html
（14） 肩外俞 Jiānwàishū,/lilunshuji/zhenjiuxue/2891.html
（15） 肩中俞 Jiānzhōngshū,/lilunshuji/zhenjiuxue/2892.html
（16） 天窗 Tiānchuāng,/lilunshuji/zhenjiuxue/2893.html
（17） 天容 Tiānróng,/lilunshuji/zhenjiuxue/2894.html
（18） 颧髎 Quánliáo,/lilunshuji/zhenjiuxue/2895.html
（19） 听宫 Tīnggōng,/lilunshuji/zhenjiuxue/2896.html
十二经脉  七、足太阳膀胱经（共67穴）,/lilunshuji/zhenjiuxue/93-5-7.html
（1） 睛明 Jīngmíng,/lilunshuji/zhenjiuxue/2898.html
（2） 攒竹 Cuánzhú,/lilunshuji/zhenjiuxue/2899.html
（3） 眉冲 Méichōng,/lilunshuji/zhenjiuxue/2900.html
（4） 曲差 Qǔchā,/lilunshuji/zhenjiuxue/2901.html
（5） 五处 Wǔchù,/lilunshuji/zhenjiuxue/2902.html
（6） 承光 Chéngguāng,/lilunshuji/zhenjiuxue/2903.html
（7） 通天 Tōngtiān,/lilunshuji/zhenjiuxue/2904.html
（8） 络却 Luòquè,/lilunshuji/zhenjiuxue/2905.html
（9） 玉枕 Yùzhěn,/lilunshuji/zhenjiuxue/2906.html
（10） 天柱 Tiānzhù,/lilunshuji/zhenjiuxue/2907.html
（11） 大杼 dàzhù,/lilunshuji/zhenjiuxue/2908.html
（12） 风门 fēngmén,/lilunshuji/zhenjiuxue/2909.html
（13） 肺俞 fèishū,/lilunshuji/zhenjiuxue/2910.html
（14） 厥阴俞 juéyīnshū,/lilunshuji/zhenjiuxue/2911.html
（15） 心俞 Xīnshū,/lilunshuji/zhenjiuxue/2912.html
（16） 督俞 Dūshū,/lilunshuji/zhenjiuxue/2913.html
（17） 膈俞 Géshū,/lilunshuji/zhenjiuxue/2914.html
（18） 肝俞 Gānshū,/lilunshuji/zhenjiuxue/2915.html
（19） 胆俞 Dǎnshū,/lilunshuji/zhenjiuxue/2916.html
（20） 脾俞 Pǐshū,/lilunshuji/zhenjiuxue/2917.html
（21） 胃俞 Wèishū,/lilunshuji/zhenjiuxue/2918.html
（22） 三焦俞 Sānjiāoshū,/lilunshuji/zhenjiuxue/2919.html
（23） 肾俞 Shènshū,/lilunshuji/zhenjiuxue/2920.html
（24） 气海俞 Qìhǎishū,/lilunshuji/zhenjiuxue/2921.html
（25） 大肠俞 Dàchángshū,/lilunshuji/zhenjiuxue/2922.html
（26） 关元俞 Guānyuánshū,/lilunshuji/zhenjiuxue/2923.html
（27） 小肠俞 Xiǎochángshū,/lilunshuji/zhenjiuxue/2924.html
（28） 膀胱俞 Pángguāngshū,/lilunshuji/zhenjiuxue/2925.html
（29） 中膂俞 Zhōnglǚshū,/lilunshuji/zhenjiuxue/2926.html
（30） 白环俞 Báihuánshū,/lilunshuji/zhenjiuxue/2927.html
（31） 上髎 Shàngliáo,/lilunshuji/zhenjiuxue/2928.html
（32） 次髎 Cìliáo,/lilunshuji/zhenjiuxue/2929.html
（33） 中髎 Zhōngliáo,/lilunshuji/zhenjiuxue/2930.html
（34） 下髎 Xiàliáo,/lilunshuji/zhenjiuxue/2931.html
（35） 会阳 Huìyáng,/lilunshuji/zhenjiuxue/2932.html
（36） 承扶 Chéngfú,/lilunshuji/zhenjiuxue/2933.html
（37） 殷门 Yīnmén,/lilunshuji/zhenjiuxue/2934.html
（38） 浮郄 Fúxì,/lilunshuji/zhenjiuxue/2935.html
（39） 委阳 Wěiyáng,/lilunshuji/zhenjiuxue/2936.html
（40） 委中 Wěizhōng,/lilunshuji/zhenjiuxue/2937.html
（41） 附分 Fùfēn,/lilunshuji/zhenjiuxue/2938.html
（42） 魄户 Pòhù,/lilunshuji/zhenjiuxue/2939.html
（43） 膏肓 Gāohuāng,/lilunshuji/zhenjiuxue/2940.html
（44） 神堂 Shéntáng,/lilunshuji/zhenjiuxue/2941.html
（45） 譩嘻 Yìxǐ,/lilunshuji/zhenjiuxue/2942.html
（46） 膈关 Gěguān,/lilunshuji/zhenjiuxue/2943.html
（47） 魂门 Húnmén,/lilunshuji/zhenjiuxue/2944.html
（48） 阳纲 Yánggāng,/lilunshuji/zhenjiuxue/2945.html
（49） 意舍 Yìshě,/lilunshuji/zhenjiuxue/2946.html
（50） 胃仓 Wèicāng,/lilunshuji/zhenjiuxue/2947.html
（51） 肓门 Huāngmén,/lilunshuji/zhenjiuxue/2948.html
（52） 志室 Zhìshì,/lilunshuji/zhenjiuxue/2949.html
（53） 胞肓 Bāohuāng,/lilunshuji/zhenjiuxue/2950.html
（54） 秩边 Zhìbiān,/lilunshuji/zhenjiuxue/2951.html
（55） 合阳 Héyáng,/lilunshuji/zhenjiuxue/2952.html
（56） 承筋 Chéngjīn,/lilunshuji/zhenjiuxue/2953.html
（57） 承山 Chéngshān,/lilunshuji/zhenjiuxue/2954.html
（58） 飞扬 Fēiyáng,/lilunshuji/zhenjiuxue/2955.html
（59） 跗阳 Fùyáng,/lilunshuji/zhenjiuxue/2956.html
（60） 昆仑 Kūnlún,/lilunshuji/zhenjiuxue/2957.html
（61） 仆参 Púcān,/lilunshuji/zhenjiuxue/2958.html
（62） 申脉 ShēnMài,/lilunshuji/zhenjiuxue/2959.html
（63） 金门 Jīnmén,/lilunshuji/zhenjiuxue/2960.html
（64） 京骨 Jīnggǔ,/lilunshuji/zhenjiuxue/2961.html
（65） 束骨 Shùgǔ,/lilunshuji/zhenjiuxue/2962.html
（66） 足通谷 Zútōnggǔ,/lilunshuji/zhenjiuxue/2963.html
（67） 至阴 Zhìyīn,/lilunshuji/zhenjiuxue/2964.html
十二经脉  八、足少阴肾经（共27穴）,/lilunshuji/zhenjiuxue/93-5-8.html
（1） 涌泉 Yǒngquán,/lilunshuji/zhenjiuxue/2966.html
（2） 然谷 Rángǔ,/lilunshuji/zhenjiuxue/2967.html
（3） 太溪 Tàixī,/lilunshuji/zhenjiuxue/2968.html
（4） 大钟 Dàzhōng,/lilunshuji/zhenjiuxue/2969.html
（5） 水泉 Shuǐquán,/lilunshuji/zhenjiuxue/2970.html
（6） 照海 Zhàohǎi,/lilunshuji/zhenjiuxue/2971.html
（7） 复溜 Fùliū,/lilunshuji/zhenjiuxue/2972.html
（8） 交信 Jiāoxìn,/lilunshuji/zhenjiuxue/2973.html
（9） 筑宾 Zhùbīn,/lilunshuji/zhenjiuxue/2974.html
（10） 阴谷 Yīngǔ,/lilunshuji/zhenjiuxue/2975.html
（11） 横骨 Hénggǔ,/lilunshuji/zhenjiuxue/2976.html
（12） 大赫 Dàhè,/lilunshuji/zhenjiuxue/2977.html
（13） 气穴 Qìxué,/lilunshuji/zhenjiuxue/2978.html
（14） 四满 Sìmǎn,/lilunshuji/zhenjiuxue/2979.html
（15） 中注 Zhōngzhù,/lilunshuji/zhenjiuxue/2980.html
（16） 肓俞 Huāngshū,/lilunshuji/zhenjiuxue/2981.html
（17） 商曲 Shāngqū,/lilunshuji/zhenjiuxue/2982.html
（18） 石关 Shíguān,/lilunshuji/zhenjiuxue/2983.html
（19） 阴都 Yīndū,/lilunshuji/zhenjiuxue/2984.html
（20） 腹通谷 Fùtōnggǔ,/lilunshuji/zhenjiuxue/2985.html
（21） 幽门 Yōumén,/lilunshuji/zhenjiuxue/2986.html
（22） 步廊 Bùláng,/lilunshuji/zhenjiuxue/2987.html
（23） 神封 Shénfēng,/lilunshuji/zhenjiuxue/2988.html
（24） 灵墟 Língxū,/lilunshuji/zhenjiuxue/2989.html
（25） 神藏 Shéncáng,/lilunshuji/zhenjiuxue/2990.html
（26） 彧中 Yùzhōng,/lilunshuji/zhenjiuxue/2991.html
（27） 俞府 Shūfǔ,/lilunshuji/zhenjiuxue/2992.html
十二经脉  九、手厥阴心包经（共9穴）,/lilunshuji/zhenjiuxue/93-5-9.html
（1） 天池 Tiānchí,/lilunshuji/zhenjiuxue/2994.html
（2） 天泉 Tiānquán,/lilunshuji/zhenjiuxue/2995.html
（3） 曲泽 Qūzé,/lilunshuji/zhenjiuxue/2996.html
（4） 郄门 Xìmén,/lilunshuji/zhenjiuxue/2997.html
（5） 间使 Jiānshǐ,/lilunshuji/zhenjiuxue/2998.html
（6） 内关 Nèiguān,/lilunshuji/zhenjiuxue/2999.html
（7） 大陵 Dàlíng,/lilunshuji/zhenjiuxue/3000.html
（8） 劳宫 Láogōng,/lilunshuji/zhenjiuxue/3001.html
（9） 中冲 Zhōngchōng,/lilunshuji/zhenjiuxue/3002.html
十二经脉  十、手少阳三焦经（共23穴）,/lilunshuji/zhenjiuxue/93-5-10.html
（1） 关冲 Guānchōng,/lilunshuji/zhenjiuxue/3004.html
（2） 液门 Yèmén,/lilunshuji/zhenjiuxue/3005.html
（3） 中渚 Zhōngzhǔ,/lilunshuji/zhenjiuxue/3006.html
（4） 阳池 Yángchí,/lilunshuji/zhenjiuxue/3007.html
（5） 外关 Wàiguān,/lilunshuji/zhenjiuxue/3008.html
（6） 支沟 Zhīgōu,/lilunshuji/zhenjiuxue/3009.html
（7） 会宗 Huìzōng,/lilunshuji/zhenjiuxue/3010.html
（8） 三阳络 Sānyángluò,/lilunshuji/zhenjiuxue/3011.html
（9） 四渎 Sìdú,/lilunshuji/zhenjiuxue/3012.html
（10） 天井 Tiānjǐng,/lilunshuji/zhenjiuxue/3013.html
（11） 清冷渊 Qīnglěngyuān,/lilunshuji/zhenjiuxue/3014.html
（12） 消泺 Xiāoluò,/lilunshuji/zhenjiuxue/3015.html
（13） 臑会 Nàohuì,/lilunshuji/zhenjiuxue/3016.html
（14） 肩髎 Jiānliáo,/lilunshuji/zhenjiuxue/3017.html
（15） 天髎 Tiānliáo,/lilunshuji/zhenjiuxue/3018.html
（16） 天牖 Tiānyǒu,/lilunshuji/zhenjiuxue/3019.html
（17） 翳风 Yīfēng,/lilunshuji/zhenjiuxue/3020.html
（18） 瘛脉 Chìmài,/lilunshuji/zhenjiuxue/3021.html
（19） 颅息 Lúxī,/lilunshuji/zhenjiuxue/3022.html
（20） 角孙 Jiǎosūn,/lilunshuji/zhenjiuxue/3023.html
（21） 耳门 ěrmén,/lilunshuji/zhenjiuxue/3024.html
（22） 耳和髎 ěrhéliáo,/lilunshuji/zhenjiuxue/3025.html
（23） 丝竹空 Sīzhúkōng,/lilunshuji/zhenjiuxue/3026.html
十二经脉  十一、足少阳胆经（共44穴）,/lilunshuji/zhenjiuxue/93-5-11.html
（1） 瞳子髎 Tóngzǐliáo,/lilunshuji/zhenjiuxue/3028.html
（2） 听会 Tīnghuì,/lilunshuji/zhenjiuxue/3029.html
（3） 上关 Shàngguān,/lilunshuji/zhenjiuxue/3030.html
（4） 颔厌 Hànyàn,/lilunshuji/zhenjiuxue/3031.html
（5） 悬颅 Xuánlu,/lilunshuji/zhenjiuxue/3032.html
（6） 悬厘 Xuánlí,/lilunshuji/zhenjiuxue/3033.html
（7） 曲鬓 Qūbìn,/lilunshuji/zhenjiuxue/3034.html
（8） 率谷 Shuàigǔ,/lilunshuji/zhenjiuxue/3035.html
（9） 天冲 Tiānchōng,/lilunshuji/zhenjiuxue/3036.html
（10） 浮白 Fúbái,/lilunshuji/zhenjiuxue/3037.html
（11） 头窍阴 Tóuqiàoyīn,/lilunshuji/zhenjiuxue/3038.html
（12） 完骨 Wángǔ,/lilunshuji/zhenjiuxue/3039.html
（13） 本神 Běnshén,/lilunshuji/zhenjiuxue/3040.html
（14） 阳白 Yángbái,/lilunshuji/zhenjiuxue/3041.html
（15） 头临泣 Tóulínqì,/lilunshuji/zhenjiuxue/3042.html
（16） 目窗 Mùchuāng,/lilunshuji/zhenjiuxue/3043.html
（17） 正营 Zhèngyíng,/lilunshuji/zhenjiuxue/3044.html
（18） 承灵 Chénglíng,/lilunshuji/zhenjiuxue/3045.html
（19） 脑空 Nǎokōng,/lilunshuji/zhenjiuxue/3046.html
（20） 风池 Fēngchí,/lilunshuji/zhenjiuxue/3047.html
（21） 肩井 Jiānjǐng,/lilunshuji/zhenjiuxue/3048.html
（22） 渊腋 Yuānyè,/lilunshuji/zhenjiuxue/3049.html
（23） 辄筋 Zhéjīn,/lilunshuji/zhenjiuxue/3050.html
（24） 日月 Rìyuè,/lilunshuji/zhenjiuxue/3051.html
（25） 京门 Jīngmén,/lilunshuji/zhenjiuxue/3052.html
（26） 带脉 Dàimài,/lilunshuji/zhenjiuxue/3053.html
（27） 五枢 Wǔshū,/lilunshuji/zhenjiuxue/3054.html
（28） 维道 Wéidào,/lilunshuji/zhenjiuxue/3055.html
（29） 居髎 Jūliáo,/lilunshuji/zhenjiuxue/3056.html
（30） 环跳 Huántiào,/lilunshuji/zhenjiuxue/3057.html
（31） 风市 Fēngshì,/lilunshuji/zhenjiuxue/3058.html
（32） 中渎 Zhōngdú,/lilunshuji/zhenjiuxue/3059.html
（33） 膝阳关 Xīyángguān,/lilunshuji/zhenjiuxue/3060.html
（34） 阳陵泉 Yánglíngquán,/lilunshuji/zhenjiuxue/3061.html
（35） 阳交 Yángjiāo,/lilunshuji/zhenjiuxue/3062.html
（36） 外丘 Wàiqiū,/lilunshuji/zhenjiuxue/3063.html
（37） 光明 Guāngmíng,/lilunshuji/zhenjiuxue/3064.html
（38） 阳辅 Yángfǔ,/lilunshuji/zhenjiuxue/3065.html
（39） 悬钟 Xuánzhōng,/lilunshuji/zhenjiuxue/3066.html
（40） 丘墟 Qiūxū,/lilunshuji/zhenjiuxue/3067.html
（41） 足临泣 Zúlínqì,/lilunshuji/zhenjiuxue/3068.html
（42） 地五会 Dìwǔhuì,/lilunshuji/zhenjiuxue/3069.html
（43） 侠溪 Xiáxī,/lilunshuji/zhenjiuxue/3070.html
（44） 足窍阴 Zúqiàoyīn,/lilunshuji/zhenjiuxue/3071.html
十二经脉  十二、足厥阴肝经（共14穴）,/lilunshuji/zhenjiuxue/93-5-12.html
（1） 大敦 Dàdūn,/lilunshuji/zhenjiuxue/3073.html
（2） 行间 Xíngjiān,/lilunshuji/zhenjiuxue/3074.html
（3） 太冲 Tàichōng,/lilunshuji/zhenjiuxue/3075.html
（4） 中封 Zhōngfēng,/lilunshuji/zhenjiuxue/3076.html
（5） 蠡沟 Lìgōu,/lilunshuji/zhenjiuxue/3077.html
（6） 中都 Zhōngdū,/lilunshuji/zhenjiuxue/3078.html
（7） 膝关 Xīguān,/lilunshuji/zhenjiuxue/3079.html
（8） 曲泉 Qūquán,/lilunshuji/zhenjiuxue/3080.html
（9） 阴包 Yīnbāo,/lilunshuji/zhenjiuxue/3081.html
（10） 足五里 Zúwǔli,/lilunshuji/zhenjiuxue/3082.html
（11） 阴廉 Yīnlián,/lilunshuji/zhenjiuxue/3083.html
（12） 急脉 Jímài,/lilunshuji/zhenjiuxue/3084.html
（13） 章门 Zhāngmén,/lilunshuji/zhenjiuxue/3085.html
（14） 期门 Qīmén,/lilunshuji/zhenjiuxue/3086.html
奇经八脉  一、督脉（共28穴）,/lilunshuji/zhenjiuxue/93-5-13.html
（1） 长强 Chángqiáng,/lilunshuji/zhenjiuxue/3088.html
（2） 腰俞 Yāoshū,/lilunshuji/zhenjiuxue/3089.html
（3） 腰阳关 Yāoyángguān,/lilunshuji/zhenjiuxue/3090.html
（4） 命门 Mìngmén,/lilunshuji/zhenjiuxue/3091.html
（5） 悬枢 Xuánshū,/lilunshuji/zhenjiuxue/3092.html
（6） 脊中 Jìzhōng,/lilunshuji/zhenjiuxue/3093.html
（7） 中枢 Zhōngshū,/lilunshuji/zhenjiuxue/3094.html
（8） 筋缩 Jīnsuò,/lilunshuji/zhenjiuxue/3095.html
（9） 至阳 Zhìyáng,/lilunshuji/zhenjiuxue/3096.html
（10） 灵台 Língtái,/lilunshuji/zhenjiuxue/3097.html
（11） 神道 Shéndào,/lilunshuji/zhenjiuxue/3098.html
（12） 身柱 Shēnzhù,/lilunshuji/zhenjiuxue/3099.html
（13） 陶道Táodào,/lilunshuji/zhenjiuxue/3100.html
（14） 大椎 Dàzhuī,/lilunshuji/zhenjiuxue/3101.html
（15） 哑门 Yamén,/lilunshuji/zhenjiuxue/3102.html
（16） 风府 Fēngfu,/lilunshuji/zhenjiuxue/3103.html
（17） 脑户 Naohù,/lilunshuji/zhenjiuxue/3104.html
（18） 强间 Qiángjiān,/lilunshuji/zhenjiuxue/3105.html
（19） 后顶 Hòuding,/lilunshuji/zhenjiuxue/3106.html
（20） 百会 Baihuì,/lilunshuji/zhenjiuxue/3107.html
（21） 前顶 Qiánding,/lilunshuji/zhenjiuxue/3108.html
（22） 囟会 Xìnghuì,/lilunshuji/zhenjiuxue/3109.html
（23） 上星 Shàngxīng,/lilunshuji/zhenjiuxue/3110.html
（24） 神庭 Shéntíng,/lilunshuji/zhenjiuxue/3111.html
（25） 素髎 Sùliáo,/lilunshuji/zhenjiuxue/3112.html
（26） 水沟 Shuigōu,/lilunshuji/zhenjiuxue/3113.html
（27） 兑端 Duìduān,/lilunshuji/zhenjiuxue/3114.html
（28） 龈交 Yínjiāo,/lilunshuji/zhenjiuxue/3115.html
奇经八脉  二、任脉（共24穴）,/lilunshuji/zhenjiuxue/93-5-14.html
（1） 会阴 Huìyīn,/lilunshuji/zhenjiuxue/3117.html
（2） 曲骨 Qūgǔ,/lilunshuji/zhenjiuxue/3118.html
（3） 中极 Zhōngjí,/lilunshuji/zhenjiuxue/3119.html
（4） 关元 Guānyuán,/lilunshuji/zhenjiuxue/3120.html
（5） 石门 Shímén,/lilunshuji/zhenjiuxue/3121.html
（6） 气海 Qìhǎi,/lilunshuji/zhenjiuxue/3122.html
（7） 阴交 Yīnjiāo,/lilunshuji/zhenjiuxue/3123.html
